Knesset Party ID	Excel Name	Party Name	Knesset	Bloc
0	Alignment	Labour Party	13	Left Wing
1	National Religious Party (N.R.P.)	National Religious Party	13	Orthodox
2	Agudat Yisrael	Agudat Yisrael	13	Orthodox
3	Da	Da	13	Micro Party
4	Daf	Pikanti	13	Micro Party
5	Vav	Hadash	13	Arab-Israeli Interests
6	Zeh	Tzipor	13	Micro Party
7	Homeland Movement	Moledet	13	Right Wing
8	Yad	Hatikva	13	Micro Party
9	Yaz	Torah VeAretz	13	Micro Party
10	Yam	Natural Law Party	13	Micro Party
11	Ki	Tali	13	Micro Party
12	Likud	Likud	13	Right Wing
13	Citizen's Rights Movement (Ratz)	Meretz	13	Left Wing
14	Nun	On Wheels	13	Micro Party
15	Nun Dalet	Movement for Mortgage Affected, Homeless and Demobilised Soldiers	13	Micro Party
16	Nun Kafh	Women's Party	13	Micro Party
17	Ayin	Arab Democratic Party	13	Arab-Israeli Interests
18	Peh	Progressive List for Peace	13	Micro Party
19	Tzomet	Tzomet	13	Right Wing
20	Kofh	Pensioners, Immigrants and Senior Citizens	13	Micro Party
21	Kal	Geulat Yisrael	13	Micro Party
22	Kan	New Liberal Party	13	Micro Party
23	Shas - Sepharadic Orthodox Party	Shas	13	Orthodox
24	Tehiya	Tehiya	13	Right Wing
0	אמת	Labour Party	14	Left Wing
1	ב	National Religious Party	14	Orthodox
2	ג	United Torah Judaism	14	Orthodox
3	ד	Da'am Workers Party	14	Micro Party
4	דן	Settlement Party	14	Micro Party
5	הד	The Third Way	14	Secular Centre
6	ו	Hadash–Balad	14	Arab-Israeli Interests
7	ז	Man's Rights in the Family Party	14	Micro Party
8	ט	Moledet	14	Right Wing
9	יד	Yamin Yisrael	14	Micro Party
10	כן	Yisrael BaAliyah	14	Sectoral
11	מחל	Likud	14	Right Wing
12	מרץ	Meretz	14	Left Wing
13	נ	Ta'al	14	Micro Party
14	ע	Ra'am–Mada	14	Arab-Israeli Interests
15	פ	Gil	14	Micro Party
16	פא	Progressive Confederation	14	Micro Party
17	ק	Unity for the Defence of New Immigrants	14	Micro Party
18	שס	Shas	14	Orthodox
19	ת	Telem Emuna	14	Micro Party
0	אמת	One Israel	15	Left Wing
1	ב	National Religious Party	15	Orthodox
2	ג	United Torah Judaism	15	Orthodox
3	ד	Balad	15	Arab-Israeli Interests
4	הד	The Third Way	15	Micro Party
5	ו	Hadash	15	Arab-Israeli Interests
6	ז	Justice for All	15	Micro Party
7	זך	Moreshet Avot	15	Micro Party
8	יט	National Union	15	Right Wing
9	ים	Lev LaOlim	15	Micro Party
10	יש	Shinui	15	Secular Centre
11	כן	Yisrael BaAliyah	15	Sectoral
12	ל	Yisrael Beiteinu	15	Right Wing
13	ם	One Nation	15	Left Wing
14	מחל	Likud	15	Right Wing
15	מרצ	Meretz-Yachad and the Democratic Choice	15	Left Wing
16	נ	Progressive Center Party	15	Micro Party
17	נץ	Negev Party	15	Micro Party
