סמל ועדה,ברזל,שם ישוב,סמל ישוב,קלפי,lon,lat,Address,ריכוז,שופט,בזב,מצביעים,פסולים,כשרים,אמת,ג,ודעם,ז,זכ,זן,זץ,טב,י,יז,ינ,יף,יק,כ,כי,כף,ל,מחל,מרצ,נ,נך,נץ,פה,ףז,צ,צן,ץ,ק,קך,קץ,רק,שס
18,9797,אבו ג'ווייעד (שבט),967,1,35.097292,32.496323,ערערה-בנגב ערערה-בנגב אבו ג'ווייעד (שבט),1,0,559,113,2,111,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0
18,9798,אבו ג'ווייעד (שבט),967,2,35.097292,32.496323,ערערה-בנגב ערערה-בנגב אבו ג'ווייעד (שבט),1,0,751,224,1,223,3,0,202,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,12,0,0,0,0,1,1,0,0,0
18,9799,אבו ג'ווייעד (שבט),967,3,35.097292,32.496323,ערערה-בנגב ערערה-בנגב אבו ג'ווייעד (שבט),1,0,651,205,6,199,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2,733,אבו גוש,472,1,35.1084625,31.8087164,אל רשיד 1 אבו גוש,1,0,525,268,3,265,8,0,194,0,0,0,0,0,0,2,0,1,0,0,0,0,1,8,20,0,0,0,25,0,1,0,0,0,0,0,0,5
2,734,אבו גוש,472,2,35.1084625,31.8087164,אל רשיד 1 אבו גוש,1,0,686,363,6,357,5,0,290,0,0,0,0,0,0,5,0,0,0,0,0,0,4,4,7,0,0,0,33,0,0,0,0,2,1,0,0,6
2,735,אבו גוש,472,3,35.1135045,31.8070128,דרך השלום אבו גוש,2,0,579,335,3,332,5,1,217,0,0,0,0,0,0,5,0,0,0,0,0,0,1,30,11,0,0,0,40,0,1,0,0,1,1,1,0,18
2,736,אבו גוש,472,4,35.1246081,31.8063149,התמר 2 אבו גוש,4,0,761,408,10,398,5,0,281,1,0,0,0,1,0,8,0,0,0,0,0,1,2,21,16,0,0,0,55,0,0,1,0,0,0,2,1,3
2,737,אבו גוש,472,5,35.1135045,31.8070128,דרך השלום אבו גוש,2,0,541,234,7,227,7,1,148,0,0,0,0,0,0,4,1,0,0,0,1,0,0,18,10,0,0,0,31,0,0,0,1,0,0,0,2,3
2,738,אבו גוש,472,6,35.1246081,31.8063149,התמר 2 אבו גוש,4,0,663,344,12,332,6,0,260,0,0,0,0,0,0,2,1,0,0,0,0,2,0,10,6,0,0,0,41,1,0,0,0,0,0,1,0,2
2,739,אבו גוש,472,7,35.1084625,31.8087164,אל רשיד 1 אבו גוש,1,0,553,295,8,287,2,0,194,0,0,0,0,1,0,2,0,0,0,0,2,0,3,18,6,1,0,0,43,2,0,0,0,0,0,1,0,12
2,740,אבו גוש,472,8,35.1135045,31.8070128,דרך השלום אבו גוש,2,0,452,212,4,208,2,3,148,0,0,0,1,0,0,8,0,0,0,0,1,1,1,6,6,0,0,0,27,1,0,0,0,0,0,0,0,3
6,2321,אבו סנאן,473,1,35.171969,32.95803,אבו סנאן,1,0,730,465,1,464,2,0,395,0,0,0,2,2,1,0,0,0,0,0,5,0,8,11,8,0,1,0,22,0,0,1,0,1,0,1,0,4
6,2322,אבו סנאן,473,2,35.171969,32.95803,אבו סנאן,1,0,683,458,6,452,4,0,403,0,0,0,0,0,0,0,0,3,0,0,2,0,2,2,5,0,1,0,16,0,0,0,0,1,1,0,0,12
6,2323,אבו סנאן,473,3,35.171969,32.95803,אבו סנאן,5,0,736,438,3,435,9,1,257,0,0,0,0,0,0,0,1,0,0,0,2,0,46,27,4,0,0,0,83,0,1,0,0,0,0,0,0,4
6,2324,אבו סנאן,473,4,35.171969,32.95803,אבו סנאן,2,0,684,403,4,399,3,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,28,13,3,0,1,0,37,0,0,0,0,0,0,1,1,13
6,2325,אבו סנאן,473,5,35.171969,32.95803,אבו סנאן,2,0,758,454,3,451,10,0,350,0,0,0,0,1,0,0,0,0,0,0,0,1,18,7,1,0,0,0,50,0,0,0,0,0,0,0,0,13
6,2326,אבו סנאן,473,6,35.171969,32.95803,אבו סנאן,3,0,733,499,4,495,5,0,334,0,0,0,0,0,0,0,1,0,0,0,0,0,28,34,4,1,0,0,59,0,1,0,0,0,0,0,0,28
6,2327,אבו סנאן,473,7,35.171969,32.95803,אבו סנאן,4,0,725,460,1,459,9,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,19,22,5,0,0,0,72,0,0,0,0,0,1,0,1,34
6,2328,אבו סנאן,473,8,35.171969,32.95803,אבו סנאן,3,0,737,440,9,431,4,0,328,0,0,0,0,1,0,0,0,0,1,0,7,0,15,11,1,0,0,0,25,0,0,0,0,0,1,0,1,36
6,2329,אבו סנאן,473,9,35.171969,32.95803,אבו סנאן,5,0,694,394,2,392,7,0,278,0,0,0,0,0,1,0,0,0,0,0,3,2,18,13,3,0,0,0,48,0,0,1,0,1,0,0,0,17
6,2330,אבו סנאן,473,10,35.171969,32.95803,אבו סנאן,4,0,755,423,8,415,11,0,292,0,0,0,0,0,0,0,0,1,1,0,1,0,17,15,4,0,0,0,63,0,0,0,0,0,1,1,0,8
6,2331,אבו סנאן,473,11,35.171969,32.95803,אבו סנאן,5,0,710,402,5,397,9,1,162,0,0,0,0,0,0,0,0,0,0,0,0,0,73,26,4,0,0,0,99,0,0,0,0,1,1,0,0,21
6,2332,אבו סנאן,473,12,35.171969,32.95803,אבו סנאן,4,0,710,428,2,426,10,2,126,0,0,0,0,2,0,0,0,0,0,0,3,0,70,22,7,0,0,0,145,0,0,1,0,4,0,1,0,33
6,2333,אבו סנאן,473,13,35.171969,32.95803,אבו סנאן,4,0,672,403,2,401,5,0,239,1,0,0,0,0,0,0,0,0,0,0,1,0,39,21,6,0,0,0,83,0,1,0,0,0,1,0,0,4
18,9800,אבו עבדון (שבט),958,1,35.179128,33.048792,אבו עבדון (שבט),1,0,139,47,1,46,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,9801,אבו קורינאת (שבט),968,1,34.952003,31.103115,אבו קורינאת (שבט),1,0,744,331,2,329,2,0,297,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4,0,2,0,19,0,0,0,0,0,0,1,0,1
18,9802,אבו קורינאת (שבט),968,2,34.952003,31.103115,אבו קורינאת (שבט),1,0,746,315,5,310,4,0,280,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,2,0,15,1,0,0,0,0,1,1,0,0
18,9803,אבו קורינאת (שבט),968,3,34.952003,31.103115,אבו קורינאת (שבט),1,0,753,295,4,291,6,0,254,0,1,0,1,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,17,0,0,0,1,1,0,0,0,2
18,9804,אבו קורינאת (שבט),968,4,34.952003,31.103115,אבו קורינאת (שבט),1,0,736,281,2,279,3,0,260,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,9,0,0,0,0,0,0,1,0,2
18,9805,אבו קרינאת (יישוב),1342,1,34.952003,31.103115,אבו קרינאת (יישוב),2,0,554,291,2,289,25,1,186,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,1,0,0,0,65,1,0,0,0,0,0,0,0,0
18,9806,אבו רובייעה (שבט),966,1.1,35.083681,31.249246,כסיפה כסיפה אבו רובייעה (שבט),1,0,664,211,2,209,1,0,183,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,2,0,0,11,0,1,0,1,2,0,1,0,1
18,9807,אבו רובייעה (שבט),966,1.2,35.083681,31.249246,כסיפה כסיפה אבו רובייעה (שבט),1,0,664,205,2,203,2,1,168,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,1,0,0,0,22,0,0,0,2,1,0,0,0,0
