L,R,C,A,O,S,M,Total,Highest,Lat,Long
469,369,54,1,113,0,6,1012,L,29.539399890000027,34.95053524300005
1943,1384,185,10,709,107,53,4391,L,29.551811118000046,34.92903836500005
4876,4212,454,95,2511,513,265,12926,L,29.564222346000065,34.95053524300005
119,25,7,0,3,2,1,157,L,29.576633574000027,34.97203212000005
0,0,0,0,0,0,0,0,L,29.713157082000066,34.993528998000045
0,0,0,0,0,0,0,0,L,29.80003567800003,35.01502587500005
103,4,0,4,1,0,1,113,L,29.824858134000067,35.01502587500005
0,0,0,0,0,0,0,0,L,29.91173673000003,34.993528998000045
321,13,14,1,3,6,2,360,L,29.899325502000067,35.05801963000005
0,0,0,0,0,0,0,0,L,29.93655918500008,34.95053524300005
122,7,6,1,0,0,1,137,L,29.94897041300004,35.05801963000005
113,11,8,0,0,1,0,133,L,29.97379286900008,35.05801963000005
64,2,5,3,0,0,0,74,L,29.98620409700004,35.07951650800004
126,12,3,2,3,1,3,150,L,30.04826023700008,35.01502587500005
65,5,4,1,0,0,1,76,L,30.08549392100008,35.12251026300004
128,14,11,0,1,0,0,154,L,30.358540937000043,35.165504018000036
0,0,0,0,0,0,0,0,L,30.482653217000063,35.165504018000036
78,13,9,0,0,0,1,101,L,30.569531813000026,35.18700089500004
438,462,36,10,249,205,61,1461,R,30.594354269000064,34.80005710100005
293,213,19,1,114,127,31,798,L,30.619176725000045,34.80005710100005
260,17,8,4,5,0,5,299,L,30.656410409000046,35.25149152700004
217,59,23,0,10,3,4,316,L,30.768111461000046,35.272988405000035
0,0,0,0,0,0,0,0,L,30.792933917000028,34.67107583600006
0,0,0,0,0,0,0,0,L,30.805345145000047,35.25149152700004
0,0,0,0,0,0,0,0,L,30.805345145000047,35.29448528200004
182,19,13,0,5,8,0,227,L,30.854990057000066,34.778560223000056
197,7,8,0,1,2,0,215,L,30.867401285000028,34.80005710100005
0,0,0,0,0,0,0,0,L,30.879812513000047,34.821553978000054
0,0,0,0,0,0,0,0,L,30.90463496900003,34.39161642800008
45,20,13,0,13,7,5,103,L,30.892223741000066,34.41311330600007
0,0,0,0,0,0,0,0,L,30.90463496900003,34.434610183000075
128,35,7,0,3,1,2,176,L,30.929457425000066,35.380472792000035
0,0,0,0,0,0,0,0,L,30.954279881000048,34.69257271300006
0,0,0,0,0,0,0,0,L,30.954279881000048,35.380472792000035
0,0,0,0,0,0,0,0,L,30.991513565000048,34.75706334600005
301,17,6,1,4,2,2,333,L,31.003924793000067,34.778560223000056
676,1127,48,7,1501,268,197,3824,O,30.991513565000048,34.92903836500005
0,0,0,0,0,0,0,0,L,31.01633602100003,34.714069591000055
0,0,0,0,0,0,0,0,L,31.05356970500003,34.69257271300006
393,6,10,1,2,4,4,420,L,31.041158477000067,34.714069591000055
362,830,22,9,966,248,102,2539,O,31.05356970500003,35.03652275300004
304,589,17,2,534,60,47,1553,R,31.06598093300005,35.01502587500005
2131,4004,143,16,4129,775,404,11602,O,31.078392161000068,35.03652275300004
145,9,0,385,4,0,66,609,A,31.10321461700005,34.95053524300005
1,2,0,385,3,1,6,398,A,31.09080338900003,34.97203212000005
0,8,0,0,67,0,0,75,O,31.14044830100005,34.327125796000075
0,0,0,0,0,0,0,0,L,31.152859529000068,34.90754148800005
0,0,0,0,0,0,0,0,L,31.152859529000068,35.03652275300004
22,34,1,1,7,1,2,68,R,31.14044830100005,35.35897591500003
