Booth Number	Latitude	Longitude	Search	Settlement Number	Source
1	31.6173511	34.7252617	שחר	7	Quant
1	31.7513265	34.8865254	תירוש	10	Quant
1	31.608906	34.714282	"ניר ח""ן"	11	Quant
1	30.767942	35.278498	חצבה	13	Quant
1	31.5671315	34.7886242	נועם	15	Quant
1	31.647627	34.873107	בית ניר	16	Quant
1	31.610982	34.800427	שדה משה	18	Quant
1	32.0331743	34.7814667	מקווה ישראל	22	Quant
1	31.531176	34.914463	אמציה	23	Quant
1	31.560907	34.84409	לכיש	24	Quant
1	32.9684309	35.5409884	מעלה גיא אוני ראש פינה	26	Quant
2	32.9684309	35.5409884	מעלה גיא אוני ראש פינה	26	Quant
3	32.9684309	35.5409884	מעלה גיא אוני ראש פינה	26	Quant
4	32.9684309	35.5409884	מעלה גיא אוני ראש פינה	26	Quant
1	31.721354	34.920683	שדות מיכה	27	Quant
1	31.8549697	34.8408913	שד אליהו 4 מזכרת בתיה	28	Quant
2	31.8525674	34.8407911	שחם יואב 5, מזכרת בתיה	28	Google
3	31.849076	34.839379	שד מוטה גור מזכרת בתיה	28	Quant
4	31.849076	34.839379	שד מוטה גור מזכרת בתיה	28	Quant
5	31.855786	34.839173	בית און מזכרת בתיה	28	Quant
6	31.8549697	34.8408913	שד אליהו 4 מזכרת בתיה	28	Quant
7	31.855786	34.839173	בית און מזכרת בתיה	28	Quant
8	31.855786	34.839173	בית און מזכרת בתיה	28	Quant
9	31.8549697	34.8408913	שד אליהו 4 מזכרת בתיה	28	Quant
10	31.8525674	34.8407911	שחם יואב 5, מזכרת בתיה	28	Google
11	31.853792	34.8404676	שחם יואב 5 מזכרת בתיה	28	Quant
12	31.8549697	34.8408913	שד אליהו 4 מזכרת בתיה	28	Quant
13	31.849076	34.839379	שד מוטה גור מזכרת בתיה	28	Quant
14	31.849076	34.839379	שד מוטה גור מזכרת בתיה	28	Quant
15	31.849076	34.839379	שד מוטה גור מזכרת בתיה	28	Quant
16	31.849076	34.839379	שד מוטה גור מזכרת בתיה	28	Quant
17	31.849076	34.839379	שד מוטה גור, מזכרת בתיה	28	Google
1	33.0580085	35.606927	יסוד המעלה	29	Quant
2	33.0580085	35.606927	יסוד המעלה	29	Quant
1	31.3205183	34.6180795	קבוץ גלויות 5 אופקים	31	Quant
2	31.311928	34.6186184	"צה""ל 4 אופקים"	31	Quant
3	31.3151245	34.61864	"הפלמ""ח 1 אופקים"	31	Quant
4	31.3128141	34.6173752	גולומב אופקים	31	Quant
5	31.3187577	34.6169945	הנשיא אופקים	31	Quant
6	31.3131474	34.6144746	קבוץ גלויות 85 אופקים	31	Quant
7	31.311928	34.6186184	"צה""ל 4 אופקים"	31	Quant
8	31.3120968	34.6191809	צהל, אופקים	31	Google
9	31.3128141	34.6173752	גולומב אופקים	31	Quant
11	31.3074487	34.62315210000001	חפץ חיים 26 אופקים	31	Quant
12	31.3074487	34.62315210000001	חפץ חיים 26 אופקים	31	Quant
13	31.3086228	34.6246731	"החיד""א אופקים"	31	Quant
14	31.3084322	34.6236184	עמרם בן דיואן 4 אופקים	31	Quant
16	31.314784	34.6157321	יהודה הלוי 16 אופקים	31	Quant
17	31.3029884	34.6296178	דרך הטייסים 903 אופקים	31	Quant
20	31.311337	34.622824	הרב יעקב הורוביץ 1 אופקים	31	Quant
10	31.3054043	34.6252725	רבי עקיבא 12 אופקים	31	Quant
15	31.3084322	34.6236184	עמרם בן דיואן 4 אופקים	31	Quant
18	31.3131474	34.6144746	קבוץ גלויות 85, אופקים	31	Google
19	31.3062427	34.6168199	צאלון 1, אופקים	31	Google
21	31.3058167	34.6206364	דרך הטייסים 4 אופקים	31	Quant
22	31.3058167	34.6206364	דרך הטייסים 4 אופקים	31	Quant
23	31.3010828	34.624884	קרית ספר 12 אופקים	31	Quant
25	31.3021016	34.6188071	צאלון 1 אופקים	31	Quant
26	31.311928	34.6186184	"צה""ל 4 אופקים"	31	Quant
28	31.3054043	34.6252725	רבי עקיבא 12 אופקים	31	Quant
24	31.3058167	34.6206364	דרך הטייסים 4 אופקים	31	Quant
27	31.3131474	34.6144746	קבוץ גלויות 85, אופקים	31	Google
29	31.3206527	34.6177053	קבוץ גלויות 5, אופקים	31	Google
30	31.3086228	34.6246731	"החיד""א אופקים"	31	Quant
31	31.3058167	34.6206364	דרך הטייסים 4 אופקים	31	Quant
32	31.3010828	34.624884	קרית ספר 12 אופקים	31	Quant
33	31.3074487	34.62315210000001	חפץ חיים 26 אופקים	31	Quant
34	31.314784	34.6157321	יהודה הלוי 16 אופקים	31	Quant
990	31.3206527	34.6177053	קבוץ גלויות 5, אופקים	31	Google
35	31.3008255	34.625538	קרית ספר 10 אופקים	31	Quant
36	31.3029884	34.6296178	דרך הטייסים 903 אופקים	31	Quant
37	31.3029884	34.6296178	דרך הטייסים 903 אופקים	31	Quant
38	31.3029879	34.6296218	דרך הטייסים 903, אופקים	31	Google
1	31.637665	34.705108	עוצם	32	Quant
1	32.600335	35.003837	בת שלמה	33	Quant
1	33.018208	35.619547	גדות	35	Quant
1	31.577476	34.683443	שדה דוד	36	Quant
1	31.571772	34.7481194	איתן	37	Quant
1	31.741	34.878	גפן	39	Quant
1	32.40673	34.92427560000001	השחף 1 אליכין	41	Quant
2	32.1636519	34.8428755	"רמב""ם 1, אליכין"	41	Google
3	32.1636519	34.8428755	"רמב""ם 1, אליכין"	41	Google
4	32.406505	34.9246037	השחף 1, אליכין	41	Google
1	33.2810609	35.5778917	הנדיב 4 מטולה	43	Quant
2	33.2810609	35.5778917	הנדיב 4 מטולה	43	Quant
1	31.5954003	34.69210100000001	זוהר	44	Quant
1	32.71008	35.50584	יבנאל 1 יבנאל	46	Quant
2	32.71008	35.50584	יבנאל 1 יבנאל	46	Quant
3	32.71008	35.50584	יבנאל 1 יבנאל	46	Quant
4	32.71008	35.50584	יבנאל 1 יבנאל	46	Quant
1	33.0122429	35.1024658	שכ המיסדים 1 כפר תבור	47	Quant
2	33.0122429	35.1024658	שכ המיסדים 1 כפר תבור	47	Quant
3	32.685866	35.4207383	שכ המיסדים 2 כפר תבור	47	Quant
4	32.685866	35.4207383	שכ המיסדים 2 כפר תבור	47	Quant
5	33.0122429	35.1024658	שכ המיסדים 1 כפר תבור	47	Quant
1	32.667515	35.557392	שכ עופר מנחמיה	48	Quant
2	32.667515	35.557392	שכ עופר מנחמיה	48	Quant
1	32.75087600000001	35.405356	אילניה 1 אילניה	49	Quant
1	32.5197478	34.9413971	סמטת יסמין, גבעת עדה	50	Google
2	32.517078	34.955096	גבעת עדה, גבעת עדה	50	Google
1	31.688209	34.888222	לוזית	52	Quant
1	32.696108	34.9427357	תמירון 1, עתלית	53	Google
2	32.6864688	34.9434189	שושנת הים 16 עתלית	53	Quant
3	32.6830555	34.9395615	הזית 64 עתלית	53	Quant
4	32.6924049	34.94383810000001	המיסדים, עתלית	53	Google
5	32.6960128	34.9461595	החיטה 1, עתלית	53	Google
6	32.6960128	34.9461595	החיטה 1, עתלית	53	Google
7	32.6864688	34.9434189	שושנת הים 16 עתלית	53	Quant
8	32.69697740000001	34.9482431	החיטה 1 עתלית	53	Quant
9	32.6960128	34.9461595	החיטה 1, עתלית	53	Google
1	31.625691	34.69528	נוגה	55	Quant
1	32.714209	35.562746	כנרת (קבוצה)	57	Quant
1	32.7899197	35.50840549999999	מצפה	58	Quant
1	32.706938	35.575062	דגניה א'	62	Quant
1	32.723787	35.565242	כנרת (מושבה)	63	Quant
1	31.899841	34.900086	"יד רמב""ם"	64	Quant
2	31.899841	34.900086	"יד רמב""ם"	64	Quant
1	32.8391567	35.5041705	נוף הארבל 12 מגדל	65	Quant
2	32.8391567	35.5041705	נוף הארבל 12 מגדל	65	Quant
1	32.60585	35.30725	מרחביה (קיבוץ)	66	Quant
2	32.60585	35.30725	מרחביה (קיבוץ)	66	Quant
1	31.556197	34.602305	אור הנר	67	Quant
1	31.309697	34.402075	ניר עוז	69	Quant
1	31.812414	34.6458874	יאיר אשדוד	70	Quant
2	31.80579669999999	34.6428143	הארז 6 אשדוד	70	Quant
3	31.80579669999999	34.6428143	הארז 6 אשדוד	70	Quant
4	31.8039021	34.6465645	סיני 25 אשדוד	70	Quant
5	31.812414	34.6458874	יאיר אשדוד	70	Quant
6	31.8064091	34.6457886	הראשונים 29 אשדוד	70	Quant
8	31.8095439	34.6488899	ההסתדרות 8 אשדוד	70	Quant
9	31.805497	34.658573	מורדי הגטאות אשדוד	70	Quant
10	31.8083501	34.6529278	הרב קוק 4 אשדוד	70	Quant
11	31.80759879999999	34.65589629999999	אבן גבירול 6 אשדוד	70	Quant
12	31.7877976	34.64186670000001	הנשיא ויצמן אשדוד	70	Quant
13	31.8040997	34.6527168	סולד הנריטה אשדוד	70	Quant
14	31.8073597	34.6513303	המעפילים 21 אשדוד	70	Quant
15	31.8043648	34.6507938	סטרומה 5 אשדוד	70	Quant
16	31.7944369	34.65378250000001	אלבז נתן 19 אשדוד	70	Quant
17	31.8095439	34.6488899	ההסתדרות 8 אשדוד	70	Quant
18	31.8014291	34.66422530000001	חטיבת הנגב אשדוד	70	Quant
19	31.8039021	34.6465645	סיני 25 אשדוד	70	Quant
20	31.8087056	34.6485983	ההסתדרות 19 אשדוד	70	Quant
21	31.7972662	34.6456077	ביאליק 10 אשדוד	70	Quant
22	31.80759879999999	34.65589629999999	אבן גבירול 6 אשדוד	70	Quant
23	31.80579669999999	34.6428143	הארז 6 אשדוד	70	Quant
24	31.792555	34.658943	שפירא אברהם אשדוד	70	Quant
25	31.7944369	34.65378250000001	אלבז נתן 19 אשדוד	70	Quant
26	31.79557599999999	34.657441	בן יוסף שלמה אשדוד	70	Quant
27	31.8102289	34.6447198	"האצ""ל 7 אשדוד"	70	Quant
28	31.8079493	34.6466814	הראשונים אשדוד	70	Quant
29	31.8040997	34.6527168	סולד הנריטה אשדוד	70	Quant
30	31.8007539	34.6600312	שד עוזיהו 26 אשדוד	70	Quant
31	31.8016083	34.6601158	שד עוזיהו אשדוד	70	Quant
32	31.8014291	34.66422530000001	חטיבת הנגב אשדוד	70	Quant
33	31.8016083	34.6601158	שד עוזיהו אשדוד	70	Quant
34	31.7992162	34.66429189999999	חטיבת הנגב 30 אשדוד	70	Quant
35	31.8014291	34.66422530000001	חטיבת הנגב אשדוד	70	Quant
36	31.812414	34.6458874	יאיר אשדוד	70	Quant
40	31.8039021	34.6465645	סיני 25 אשדוד	70	Quant
41	31.8083501	34.6529278	הרב קוק 4 אשדוד	70	Quant
42	31.8039021	34.6465645	סיני 25 אשדוד	70	Quant
43	31.8083501	34.6529278	הרב קוק 4 אשדוד	70	Quant
44	31.7992162	34.66429189999999	חטיבת הנגב 30 אשדוד	70	Quant
45	31.8026423	34.6403401	המפרש 15 אשדוד	70	Quant
46	31.7966695	34.6422726	הרב שאולי 8 אשדוד	70	Quant
47	31.792555	34.658943	שפירא אברהם אשדוד	70	Quant
48	31.7911451	34.6551188	מיכשוילי 17 אשדוד	70	Quant
49	31.7911451	34.6551188	מיכשוילי 17 אשדוד	70	Quant
50	31.7944369	34.65378250000001	אלבז נתן 19 אשדוד	70	Quant
51	31.792555	34.658943	שפירא אברהם אשדוד	70	Quant
52	31.792555	34.658943	שפירא אברהם אשדוד	70	Quant
53	31.7971031	34.6516301	ברנר 15 אשדוד	70	Quant
54	31.796151	34.647776	אבן עזרא 16 אשדוד	70	Quant
55	31.7968908	34.6498251	טשרניחובסקי 1 אשדוד	70	Quant
56	31.796603	34.648511	אבן עזרא רובע ה', אשדוד	70	Google
58	31.7981154	34.6649308	בוסקילה יצחק אשדוד	70	Quant
59	31.7981154	34.6649308	בוסקילה יצחק אשדוד	70	Quant
60	31.7992162	34.66429189999999	חטיבת הנגב 30 אשדוד	70	Quant
61	31.8043648	34.6507938	סטרומה 5 אשדוד	70	Quant
62	31.8007539	34.6600312	שד עוזיהו 26 אשדוד	70	Quant
69	31.7992162	34.66429189999999	חטיבת הנגב 30 אשדוד	70	Quant
71	31.7911451	34.6551188	מיכשוילי 17 אשדוד	70	Quant
72	31.79557599999999	34.657441	בן יוסף שלמה אשדוד	70	Quant
73	31.7911451	34.6551188	מיכשוילי 17 אשדוד	70	Quant
74	31.79557599999999	34.657441	בן יוסף שלמה אשדוד	70	Quant
75	31.7944369	34.65378250000001	אלבז נתן 19 אשדוד	70	Quant
76	31.7998104	34.6491289	שמואל הנגיד 9 אשדוד	70	Quant
77	31.7998104	34.6491289	שמואל הנגיד 9 אשדוד	70	Quant
78	31.795622	34.644526	ביאליק רובע ה', אשדוד	70	Google
79	31.795622	34.644526	ביאליק רובע ה', אשדוד	70	Google
80	31.7972662	34.6456077	ביאליק 10 אשדוד	70	Quant
82	31.7966695	34.6422726	הרב שאולי 8 אשדוד	70	Quant
83	31.801265	34.6450274	ארן זלמן אשדוד	70	Quant
84	31.801265	34.6450274	ארן זלמן אשדוד	70	Quant
85	31.801265	34.6450274	ארן זלמן אשדוד	70	Quant
86	31.7966695	34.6422726	הרב שאולי 8 אשדוד	70	Quant
87	31.7989526	34.6420656	קרן היסוד 16 אשדוד	70	Quant
88	31.7966695	34.6422726	הרב שאולי 8 אשדוד	70	Quant
89	31.804381	34.655314	חרמון 7 אשדוד	70	Quant
90	31.8026423	34.6403401	המפרש 15 אשדוד	70	Quant
91	31.7972932	34.6396791	הצוללים אשדוד	70	Quant
92	31.8026423	34.6403401	המפרש 15 אשדוד	70	Quant
93	31.7966695	34.6422726	הרב שאולי 8 אשדוד	70	Quant
