Settlement Number,Booth Number,Address Name,Settlement Name
3000,1.0,"הורקניה,21",ירושלים
3000,2.0,"הורקניה,21",ירושלים
3000,3.0,"הורקניה,21",ירושלים
3000,4.0,"תמיר שמואל,74",ירושלים
3000,5.0,"לוחמי הגטאות,7",ירושלים
3000,6.0,"לוחמי הגטאות,7",ירושלים
3000,7.0,"ההגנה,13",ירושלים
3000,8.0,"ההגנה,13",ירושלים
3000,9.0,"לוחמי הגטאות,7",ירושלים
3000,10.0,"שד דיין משה,135",ירושלים
3000,11.0,"השישה עשר,19",ירושלים
3000,12.0,"השישה עשר,19",ירושלים
3000,13.0,"השישה עשר,34",ירושלים
3000,14.0,"השישה עשר,34",ירושלים
3000,15.0,"השישה עשר,34",ירושלים
3000,16.0,"השישה עשר,34",ירושלים
3000,17.0,"תמיר שמואל,74",ירושלים
3000,18.0,"תמיר שמואל,74",ירושלים
3000,19.0,"רחמילביץ משה,1",ירושלים
3000,20.0,"גרשון מאיר,21",ירושלים
3000,21.0,"טוניק יצחק,21",ירושלים
3000,22.0,"גרשון מאיר,21",ירושלים
3000,23.0,"רחמילביץ משה,1",ירושלים
3000,24.0,"גרשון מאיר,26",ירושלים
3000,25.0,"טוניק יצחק,21",ירושלים
3000,26.0,"גרשון מאיר,21",ירושלים
3000,27.0,מחנה פליטים קלנדיה,ירושלים
3000,28.0,"גרשון מאיר,26",ירושלים
3000,29.0,"טוניק יצחק,21",ירושלים
3000,30.0,"נדבה יוסף,47",ירושלים
3000,31.0,"גרשון מאיר,26",ירושלים
3000,32.0,"נדבה יוסף,47",ירושלים
3000,33.0,"גרשון מאיר,26",ירושלים
3000,34.0,"נדבה יוסף,47",ירושלים
3000,35.0,"טוניק יצחק,21",ירושלים
3000,36.0,"טוניק יצחק,21",ירושלים
3000,37.0,"טוניק יצחק,21",ירושלים
3000,38.0,"טוניק יצחק,21",ירושלים
3000,39.0,"רחמילביץ משה,1",ירושלים
3000,40.0,"תמיר שמואל,74",ירושלים
3000,41.0,"השישה עשר,19",ירושלים
3000,42.0,"השישה עשר,34",ירושלים
3000,43.0,"רחמילביץ משה,1",ירושלים
3000,44.0,"נדבה יוסף,47",ירושלים
3000,45.0,"טוניק יצחק,21",ירושלים
3000,46.0,"נדבה יוסף,47",ירושלים
3000,47.0,"שד דיין משה,135",ירושלים
3000,48.0,מחנה פליטים קלנדיה,ירושלים
3000,49.0,"הרב זווין,4",ירושלים
3000,50.0,"ככר ארן זלמן,11",ירושלים
3000,51.0,"ככר ארן זלמן,11",ירושלים
3000,52.0,"ככר ארן זלמן,7",ירושלים
3000,53.0,"מעגלי הרי""ם לוין,27",ירושלים
3000,54.0,"מעגלי הרי""ם לוין,27",ירושלים
3000,55.0,"מעגלי הרי""ם לוין,27",ירושלים
3000,56.0,"מעגלי הרי""ם לוין,27",ירושלים
3000,57.0,"מעגלי הרי""ם לוין,27",ירושלים
3000,58.0,"ככר ארן זלמן,7",ירושלים
3000,59.0,"ככר ארן זלמן,11",ירושלים
3000,60.0,"ככר ארן זלמן,7",ירושלים
3000,61.0,"מעגלות הרב פרדס,39",ירושלים
3000,62.0,"מעגלות הרב פרדס,39",ירושלים
3000,63.0,"מעגלות הרב פרדס,39",ירושלים
3000,64.0,"מעגלות הרב פרדס,39",ירושלים
3000,65.0,"מעגלות הרב פרדס,39",ירושלים
3000,66.0,"מעגלות הרב פרדס,39",ירושלים
3000,67.0,"מעגלות הרב פרדס,39",ירושלים
3000,68.0,"שד נוה יעקב,38",ירושלים
3000,69.0,"שד נוה יעקב,38א",ירושלים
3000,70.0,"בלבן מאיר,6",ירושלים
3000,71.0,"הרב זווין,4",ירושלים
3000,72.0,"הרב זווין,4",ירושלים
3000,73.0,"שד נוה יעקב,38ב",ירושלים
3000,74.0,"בלבן מאיר,6",ירושלים
3000,75.0,"שד נוה יעקב,38",ירושלים
3000,76.0,"הרב זווין,4",ירושלים
3000,77.0,"בלבן מאיר,6",ירושלים
3000,78.0,"שד נוה יעקב,38",ירושלים
3000,79.0,"מזל טלה,11",ירושלים
3000,80.0,"מזל טלה,11",ירושלים
3000,81.0,"מזל דלי,21",ירושלים
3000,82.0,"מזל דלי,21",ירושלים
3000,83.0,"מזל טלה,11",ירושלים
3000,84.0,"שד נוה יעקב,38א",ירושלים
3000,85.0,"בלבן מאיר,6",ירושלים
3000,86.0,"הרב זווין,4",ירושלים
3000,87.0,"מזל טלה,11",ירושלים
3000,88.0,"מזל דלי,21",ירושלים
3000,89.0,"מזל דלי,21",ירושלים
3000,90.0,"הרב זווין,4",ירושלים
3000,91.0,"שבטי ישראל,27",ירושלים
3000,92.0,"נטר,40",ירושלים
3000,93.0,"שמעון הצדיק,23",ירושלים
3000,94.0,"שמעון הצדיק,23",ירושלים
3000,95.0,"שמעון הצדיק,23",ירושלים
3000,96.0,"שמעון הצדיק,23",ירושלים
3000,97.0,"דבורה הנביאה,2",ירושלים
3000,98.0,"הנביאים,42",ירושלים
3000,99.0,"הנביאים,42",ירושלים
3000,100.0,"שבטי ישראל,27",ירושלים
3000,101.0,"אביגדורי,4",ירושלים
3000,102.0,"נטר,40",ירושלים
3000,103.0,"שמעון הצדיק,23",ירושלים
3000,104.0,"אביגדורי,4",ירושלים
3000,105.0,"אביגדורי,4",ירושלים
3000,106.0,"אביגדורי,4",ירושלים
3000,107.0,"שבטי ישראל,22",ירושלים
3000,108.0,"שבטי ישראל,22",ירושלים
3000,109.0,"שבטי ישראל,22",ירושלים
3000,110.0,"שבטי ישראל,22",ירושלים
3000,111.0,"שבטי ישראל,22",ירושלים
3000,112.0,"שמעון הצדיק,23",ירושלים
3000,113.0,"נטר,40",ירושלים
3000,114.0,"מנחם מנדל משקלוב,24",ירושלים
3000,115.0,"שמואל הנביא,85",ירושלים
